"disease"	"codetype"	"diag_code"	"readcode"	"description"	"comment"
"540"	"Atrial fibrillation/flutter"	"Gold"	"6771"	"3273.00"	"ECG: atrial flutter"	""
"541"	"Atrial fibrillation/flutter"	"Gold"	"84152"	"793M100"	"Perc transluminal ablation of atrial wall for atrial flutter"	""
"542"	"Atrial fibrillation/flutter"	"Gold"	"86416"	"793M300"	"Perc translum ablat conduct sys heart for atrial flutter NEC"	""
"543"	"Atrial fibrillation/flutter"	"Gold"	"9479"	"7936A00"	"Implant intravenous pacemaker for atrial fibrillation"	""
"544"	"Atrial fibrillation/flutter"	"Gold"	"96076"	"G573500"	"Persistent atrial fibrillation"	""
"545"	"Atrial fibrillation/flutter"	"Gold"	"96277"	"G573400"	"Permanent atrial fibrillation"	""
"546"	"Atrial fibrillation/flutter"	"ICD-10"	"I48"	""	"Atrial fibrillation and flutter"	""
"547"	"Atrial fibrillation/flutter"	"ICD-10"	"I48.0"	""	"Paroxysmal atrial fibrillation"	""
"548"	"Atrial fibrillation/flutter"	"ICD-10"	"I48.1"	""	"Persistent atrial fibrillation"	""
"549"	"Atrial fibrillation/flutter"	"ICD-10"	"I48.2"	""	"Chronic atrial fibrillation"	""
"550"	"Atrial fibrillation/flutter"	"ICD-10"	"I48.3"	""	"Typical atrial flutter"	""
"551"	"Atrial fibrillation/flutter"	"ICD-10"	"I48.4"	""	"Atypical atrial flutter"	""
"552"	"Atrial fibrillation/flutter"	"ICD-10"	"I48.9"	""	"Atrial fibrillation and atrial flutter, unspecified"	""
"553"	"Atrial fibrillation/flutter"	"ICD-9"	"427.3"	""	"427.3 Atrial fibrillation and flutter"	""
"554"	"Atrial fibrillation/flutter"	"ICD-9"	"427.31"	""	"427.31 Atrial fibrillation"	""
"555"	"Atrial fibrillation/flutter"	"ICD-9"	"427.32"	""	"427.32 Atrial flutter"	""
"556"	"Atrial fibrillation/flutter"	"OPCS"	"K62.2"	""	"Percutaneous transluminal ablation of atrial wall for atrial flutter"	""
"557"	"Atrial fibrillation/flutter"	"OPCS"	"K62.3"	""	"Percutaneous transluminal ablation of conducting system of heart for atrial flutter NEC"	""
"558"	"Chronic ischaemic heart disease"	"Aurum"	"12730281000006119"	""	"Other chronic ischaemic heart disease"	""
"559"	"Chronic ischaemic heart disease"	"Aurum"	"1823891000006113"	""	"Coronary heart disease confirmed"	""
"560"	"Chronic ischaemic heart disease"	"Aurum"	"2534664018"	"G3...00"	"Ischaemic heart disease"	""
"561"	"Chronic ischaemic heart disease"	"Aurum"	"2534674015"	"G34y100"	"Chronic myocardial ischaemia"	""
"562"	"Chronic ischaemic heart disease"	"Aurum"	"2536393012"	"G3...11"	"Arteriosclerotic heart disease"	""
"563"	"Chronic ischaemic heart disease"	"Aurum"	"2536395017"	"G340.12"	"Coronary artery disease"	""
"564"	"Chronic ischaemic heart disease"	"Aurum"	"2537480011"	"G3...13"	"IHD - Ischaemic heart disease"	""
"565"	"Chronic ischaemic heart disease"	"Aurum"	"2878031000006112"	""	"Angina pectoris with documented spasm"	""
"566"	"Chronic ischaemic heart disease"	"Aurum"	"299723016"	"G31y.00"	"Other acute and subacute ischaemic heart disease"	""
"567"	"Chronic ischaemic heart disease"	"Aurum"	"299757012"	"G33..00"	"Angina pectoris"	""
"568"	"Chronic ischaemic heart disease"	"Aurum"	"299765010"	"G33zz00"	"Angina pectoris NOS"	""
"569"	"Chronic ischaemic heart disease"	"Aurum"	"299776014"	"G34..00"	"Other chronic ischaemic heart disease"	""
"570"	"Chronic ischaemic heart disease"	"Aurum"	"299782012"	"G340000"	"Single coronary vessel disease"	""
"571"	"Chronic ischaemic heart disease"	"Aurum"	"299783019"	"G340100"	"Double coronary vessel disease"	""
"572"	"Chronic ischaemic heart disease"	"Aurum"	"299800012"	"G34y.00"	"Other specified chronic ischaemic heart disease"	""
"573"	"Chronic ischaemic heart disease"	"Aurum"	"299804015"	"G34yz00"	"Other specified chronic ischaemic heart disease NOS"	""
"574"	"Chronic ischaemic heart disease"	"Aurum"	"299805019"	"G34z.00"	"Other chronic ischaemic heart disease NOS"	""
"575"	"Chronic ischaemic heart disease"	"Aurum"	"299834013"	"G3y..00"	"Other specified ischaemic heart disease"	""
"576"	"Chronic ischaemic heart disease"	"Aurum"	"299835014"	"G3z..00"	"Ischaemic heart disease NOS"	""
"577"	"Chronic ischaemic heart disease"	"Aurum"	"300200014"	"G5y2.00"	"Cardiovascular arteriosclerosis unspecified"	""
"578"	"Chronic ischaemic heart disease"	"Aurum"	"300874013"	"Gyu3000"	"[X]Other forms of angina pectoris"	""
"579"	"Chronic ischaemic heart disease"	"Aurum"	"300879015"	"Gyu3300"	"[X]Other forms of chronic ischaemic heart disease"	""
"580"	"Chronic ischaemic heart disease"	"Aurum"	"3244701000006112"	""	"Subendocardial ischemia"	""
"581"	"Chronic ischaemic heart disease"	"Aurum"	"3371361000006117"	""	"Coronary arteriosclerosis"	""
"582"	"Chronic ischaemic heart disease"	"Aurum"	"3371371000006112"	""	"Arteriosclerotic heart disease"	""
"583"	"Chronic ischaemic heart disease"	"Aurum"	"3371381000006110"	""	"CAD - Coronary artery disease"	""
"584"	"Chronic ischaemic heart disease"	"Aurum"	"3371411000006113"	""	"CHD - Coronary heart disease"	""
"585"	"Chronic ischaemic heart disease"	"Aurum"	"3371421000006117"	""	"Coronary heart disease"	""
"586"	"Chronic ischaemic heart disease"	"Aurum"	"338974012"	"G33z400"	"Ischaemic chest pain"	""
"587"	"Chronic ischaemic heart disease"	"Aurum"	"350346019"	"G340.11"	"Triple vessel disease of the heart"	""
"588"	"Chronic ischaemic heart disease"	"Aurum"	"350348018"	"G33z700"	"Stable angina"	""
"589"	"Chronic ischaemic heart disease"	"Aurum"	"350350014"	"G33z600"	"New onset angina"	""
"590"	"Chronic ischaemic heart disease"	"Aurum"	"350354017"	"G344.00"	"Silent myocardial ischaemia"	""
"591"	"Chronic ischaemic heart disease"	"Aurum"	"350376014"	"G30..17"	"Silent myocardial infarction"	""
"592"	"Chronic ischaemic heart disease"	"Aurum"	"394541000006112"	"Gyu3.00"	"[X]Ischaemic heart diseases"	""
"593"	"Chronic ischaemic heart disease"	"Aurum"	"442204010"	"G33z300"	"Angina on effort"	""
"594"	"Chronic ischaemic heart disease"	"Aurum"	"458410010"	"G33z500"	"Post infarct angina"	""
"595"	"Chronic ischaemic heart disease"	"Aurum"	"459488019"	"G31y300"	"Transient myocardial ischaemia"	""
"596"	"Chronic ischaemic heart disease"	"Aurum"	"4775981000006112"	""	"Cardiac angina"	""
"597"	"Chronic ischaemic heart disease"	"Aurum"	"4776011000006114"	""	"AP - Angina pectoris"	""
"598"	"Chronic ischaemic heart disease"	"Aurum"	"4776021000006118"	""	"Ischemic heart disease - angina"	""
"599"	"Chronic ischaemic heart disease"	"Aurum"	"4776031000006115"	""	"Ischaemic heart disease - angina"	""
"600"	"Chronic ischaemic heart disease"	"Aurum"	"4776051000006110"	""	"Single vessel coronary artery disease"	""
"601"	"Chronic ischaemic heart disease"	"Aurum"	"4776121000006117"	""	"Generalised ischaemic myocardial dysfunction"	""
"602"	"Chronic ischaemic heart disease"	"Aurum"	"4776131000006119"	""	"Generalized ischemic myocardial dysfunction"	""
"603"	"Chronic ischaemic heart disease"	"Aurum"	"482811000006113"	"G311.14"	"Angina at rest"	""
"604"	"Chronic ischaemic heart disease"	"Aurum"	"482941000006119"	"G33z.00"	"Angina pectoris NOS"	""
"605"	"Chronic ischaemic heart disease"	"Aurum"	"4943331000006119"	""	"Ischemic chest pain"	""
"606"	"Chronic ischaemic heart disease"	"Aurum"	"494438016"	"G31y200"	"Subendocardial ischaemia"	""
"607"	"Chronic ischaemic heart disease"	"Aurum"	"496991000006111"	"G342.00"	"Atherosclerotic cardiovascular disease"	""
"608"	"Chronic ischaemic heart disease"	"Aurum"	"5056201000006111"	""	"Triple vessel coronary artery disease"	""
"609"	"Chronic ischaemic heart disease"	"Aurum"	"5056241000006113"	""	"Silent myocardial ischemia"	""
"610"	"Chronic ischaemic heart disease"	"Aurum"	"5056461000006113"	""	"MI - Silent myocardial infarction"	""
"611"	"Chronic ischaemic heart disease"	"Aurum"	"5887611000006117"	""	"Exercise-induced angina"	""
"612"	"Chronic ischaemic heart disease"	"Aurum"	"5887631000006111"	""	"Exertional angina"	""
"613"	"Chronic ischaemic heart disease"	"Aurum"	"5887641000006118"	""	"Angina of effort"	""
"614"	"Chronic ischaemic heart disease"	"Aurum"	"595731000006114"	"G340.00"	"Coronary atherosclerosis"	""
"615"	"Chronic ischaemic heart disease"	"Aurum"	"6053071000006117"	""	"Transient myocardial ischemia"	""
"616"	"Chronic ischaemic heart disease"	"Aurum"	"6847761000006118"	""	"Chronic ischemic heart disease"	""
"617"	"Chronic ischaemic heart disease"	"Aurum"	"6847871000006116"	""	"Chronic myocardial ischemia"	""
"618"	"Chronic ischaemic heart disease"	"Aurum"	"6860251000006115"	""	"Ischemic heart disease"	""
"619"	"Chronic ischaemic heart disease"	"Aurum"	"6860261000006118"	""	"IHD - Ischemic heart disease"	""
"620"	"Chronic ischaemic heart disease"	"Aurum"	"7278491000006111"	""	"Atherosclerosis of coronary artery"	""
"621"	"Chronic ischaemic heart disease"	"Aurum"	"7966951000006119"	""	"Diabetic angina pectoris associated with type 2 diabetes mellitus"	""
"622"	"Chronic ischaemic heart disease"	"Aurum"	"884171000006112"	"G34..99"	"Chr. ischaemic heart dis. NOS"	""
"623"	"Chronic ischaemic heart disease"	"Aurum"	"884411000006110"	"G5y2.99"	"Cardiovasc. arteriosclerosis"	""
"624"	"Chronic ischaemic heart disease"	"Aurum"	"89332015"	"G3...12"	"Atherosclerotic heart disease"	""
"625"	"Chronic ischaemic heart disease"	"Gold"	"12804"	"G33z700"	"Stable angina"	""
"626"	"Chronic ischaemic heart disease"	"Gold"	"1344"	"G340.12"	"Coronary artery disease"	""
"627"	"Chronic ischaemic heart disease"	"Gold"	"1414"	"G33z300"	"Angina on effort"	""
"628"	"Chronic ischaemic heart disease"	"Gold"	"1430"	"G33..00"	"Angina pectoris"	""
"629"	"Chronic ischaemic heart disease"	"Gold"	"15754"	"G34z.00"	"Other chronic ischaemic heart disease NOS"	""
"630"	"Chronic ischaemic heart disease"	"Gold"	"1655"	"G340.11"	"Triple vessel disease of the heart"	""
"631"	"Chronic ischaemic heart disease"	"Gold"	"1676"	"G3z..00"	"Ischaemic heart disease NOS"	""
"632"	"Chronic ischaemic heart disease"	"Gold"	"17689"	"G30..17"	"Silent myocardial infarction"	""
"633"	"Chronic ischaemic heart disease"	"Gold"	"1792"	"G3...13"	"IHD - Ischaemic heart disease"	""
"634"	"Chronic ischaemic heart disease"	"Gold"	"20416"	"G3...12"	"Atherosclerotic heart disease"	""
"635"	"Chronic ischaemic heart disease"	"Gold"	"21844"	"G31y300"	"Transient myocardial ischaemia"	""
"636"	"Chronic ischaemic heart disease"	"Gold"	"22383"	"G3y..00"	"Other specified ischaemic heart disease"	""
"637"	"Chronic ischaemic heart disease"	"Gold"	"23078"	"G34y100"	"Chronic myocardial ischaemia"	""
"638"	"Chronic ischaemic heart disease"	"Gold"	"240"	"G3...00"	"Ischaemic heart disease"	""
"639"	"Chronic ischaemic heart disease"	"Gold"	"24783"	"G3...11"	"Arteriosclerotic heart disease"	""
"640"	"Chronic ischaemic heart disease"	"Gold"	"2491"	"G30..12"	"Coronary thrombosis"	""
"641"	"Chronic ischaemic heart disease"	"Gold"	"25842"	"G33z.00"	"Angina pectoris NOS"	""
"642"	"Chronic ischaemic heart disease"	"Gold"	"26863"	"G33z600"	"New onset angina"	""
"643"	"Chronic ischaemic heart disease"	"Gold"	"28138"	"G34..00"	"Other chronic ischaemic heart disease"	""
"644"	"Chronic ischaemic heart disease"	"Gold"	"28554"	"G33zz00"	"Angina pectoris NOS"	""
"645"	"Chronic ischaemic heart disease"	"Gold"	"29421"	"G344.00"	"Silent myocardial ischaemia"	""
"646"	"Chronic ischaemic heart disease"	"Gold"	"32450"	"G33z400"	"Ischaemic chest pain"	""
"647"	"Chronic ischaemic heart disease"	"Gold"	"34633"	"G34y.00"	"Other specified chronic ischaemic heart disease"	""
"648"	"Chronic ischaemic heart disease"	"Gold"	"35713"	"G34yz00"	"Other specified chronic ischaemic heart disease NOS"	""
"649"	"Chronic ischaemic heart disease"	"Gold"	"36609"	"G342.00"	"Atherosclerotic cardiovascular disease"	""
"650"	"Chronic ischaemic heart disease"	"Gold"	"39546"	"Gyu3000"	"[X]Other forms of angina pectoris"	""
"651"	"Chronic ischaemic heart disease"	"Gold"	"39693"	"G31y200"	"Subendocardial ischaemia"	""
"652"	"Chronic ischaemic heart disease"	"Gold"	"3999"	"G340000"	"Single coronary vessel disease"	""
"653"	"Chronic ischaemic heart disease"	"Gold"	"47637"	"Gyu3300"	"[X]Other forms of chronic ischaemic heart disease"	""
"654"	"Chronic ischaemic heart disease"	"Gold"	"52517"	"Gyu3.00"	"[X]Ischaemic heart diseases"	""
"655"	"Chronic ischaemic heart disease"	"Gold"	"5254"	"G340100"	"Double coronary vessel disease"	""
"656"	"Chronic ischaemic heart disease"	"Gold"	"5413"	"G340.00"	"Coronary atherosclerosis"	""
"657"	"Chronic ischaemic heart disease"	"Gold"	"56621"	"G5y2.00"	"Cardiovascular arteriosclerosis unspecified"	""
"658"	"Chronic ischaemic heart disease"	"Gold"	"68401"	"Gyu3200"	"[X]Other forms of acute ischaemic heart disease"	""
"659"	"Chronic ischaemic heart disease"	"Gold"	"8246"	"322..00"	"ECG: myocardial ischaemia"	""
"660"	"Chronic ischaemic heart disease"	"ICD-10"	"I20"	""	"Angina pectoris"	""
"661"	"Chronic ischaemic heart disease"	"ICD-10"	"I20.1"	""	"Angina pectoris with documented spasm"	""
"662"	"Chronic ischaemic heart disease"	"ICD-10"	"I20.8"	""	"Other forms of angina pectoris"	""
"663"	"Chronic ischaemic heart disease"	"ICD-10"	"I20.9"	""	"Angina pectoris, unspecified"	""
"664"	"Chronic ischaemic heart disease"	"ICD-10"	"I25"	""	"Chronic ischaemic heart disease"	""
"665"	"Chronic ischaemic heart disease"	"ICD-10"	"I25.0"	""	"Atherosclerotic cardiovascular disease, so described"	""
"666"	"Chronic ischaemic heart disease"	"ICD-10"	"I25.1"	""	"Atherosclerotic heart disease"	""
"667"	"Chronic ischaemic heart disease"	"ICD-10"	"I25.6"	""	"Silent myocardial ischaemia"	""
"668"	"Chronic ischaemic heart disease"	"ICD-10"	"I25.8"	""	"Other forms of chronic ischaemic heart disease"	""
"669"	"Chronic ischaemic heart disease"	"ICD-10"	"I25.9"	""	"Chronic ischaemic heart disease, unspecified"	""
"670"	"Chronic ischaemic heart disease"	"ICD-9"	"413"	""	"413 Angina pectoris"	""
"671"	"Chronic ischaemic heart disease"	"ICD-9"	"413.0"	""	"413.0 Angina decubitus"	""
"672"	"Chronic ischaemic heart disease"	"ICD-9"	"414"	""	"414 Other forms of chronic ischemic heart disease"	""
"673"	"Chronic ischaemic heart disease"	"ICD-9"	"414.0"	""	"414.0 Coronary atherosclerosis"	""
"674"	"Chronic ischaemic heart disease"	"ICD-9"	"414.8"	""	"414.8 Ischemic heart disease, chronic, other"	""
"675"	"Chronic ischaemic heart disease"	"ICD-9"	"414.9"	""	"414.9 Ischemic heart disease, chronic, unspec."	""
"676"	"Heart block"	"Aurum"	"109275012"	"G566000"	"Sinoatrial block"	""
"677"	"Heart block"	"Aurum"	"1231273012"	"G561311"	"Mobitz type 1 second degree atrioventricular block"	""
"678"	"Heart block"	"Aurum"	"12719451000006112"	""	"Maintenance of intravenous cardiac pacemaker system NEC"	""
"679"	"Heart block"	"Aurum"	"12719461000006114"	""	"Cardiac pacemaker system introduced via vein NOS"	""
"680"	"Heart block"	"Aurum"	"12719471000006119"	""	"Other cardiac pacemaker system"	""
"681"	"Heart block"	"Aurum"	"12721721000006119"	""	"Implantation of cardiac pacemaker system NEC"	""
"682"	"Heart block"	"Aurum"	"12722011000006115"	""	"Other cardiac pacemaker system NOS"	""
"683"	"Heart block"	"Aurum"	"12730291000006116"	""	"Other heart block"	""
"684"	"Heart block"	"Aurum"	"12762041000006111"	""	"Electrocardiographic heart block"	""
"685"	"Heart block"	"Aurum"	"142607010"	"G565400"	"Trifascicular block"	""
"686"	"Heart block"	"Aurum"	"1547481000006119"	"7936G00"	"Implantat intraven single chamber cardiac pacemaker system"	""
"687"	"Heart block"	"Aurum"	"1547491000006116"	"7936H00"	"Implantat intravenous dual chamber cardiac pacemaker system"	""
"688"	"Heart block"	"Aurum"	"1738951000006119"	"329B.00"	"ECG: trifascicular block"	""
"689"	"Heart block"	"Aurum"	"1765921000006112"	"3297.11"	"Electrocardiogram: Mobitz type 1 second degree AV block"	""
"690"	"Heart block"	"Aurum"	"1765931000006110"	"329H.00"	"Electrocardiogram: Mobitz type 2 second degree AV block"	""
"691"	"Heart block"	"Aurum"	"1780180018"	"7936F00"	"Renewal of intravenous cardiac pacemaker system"	""
"692"	"Heart block"	"Aurum"	"208366019"	"G56y600"	"Pacemaker twiddler's syndrome"	""
"693"	"Heart block"	"Aurum"	"256487010"	"329..00"	"ECG: heart block"	""
"694"	"Heart block"	"Aurum"	"271220012"	"7936.00"	"Introduction of cardiac pacemaker system via vein"	""
"695"	"Heart block"	"Aurum"	"271221011"	"7936.11"	"Introduction of intravenous cardiac pacemaker system"	""
"696"	"Heart block"	"Aurum"	"271222016"	"7936000"	"Implantation of intravenous cardiac pacemaker system"	""
"697"	"Heart block"	"Aurum"	"271224015"	"7936100"	"Resiting of lead of intravenous pacemaker system"	""
"698"	"Heart block"	"Aurum"	"271226018"	"7936300"	"Maintenance of intravenous cardiac pacemaker system NEC"	""
"699"	"Heart block"	"Aurum"	"271231016"	"7936600"	"Implantation of permanent intravenous cardiac pacemaker"	""
"700"	"Heart block"	"Aurum"	"271232011"	"7936700"	"Implantation of intravenous fixed-rate cardiac pacemaker"	""
"701"	"Heart block"	"Aurum"	"271233018"	"7936800"	"Implantation of intravenous triggered cardiac pacemaker"	""
"702"	"Heart block"	"Aurum"	"271234012"	"7936900"	"Implantation of intravenous atrial overdrive pacemaker"	""
"703"	"Heart block"	"Aurum"	"271240017"	"7936y00"	"Other specified cardiac pacemaker system introduced via vein"	""
"704"	"Heart block"	"Aurum"	"271241018"	"7936z00"	"Cardiac pacemaker system introduced via vein NOS"	""
"705"	"Heart block"	"Aurum"	"271242013"	"7937.00"	"Other cardiac pacemaker system"	""
"706"	"Heart block"	"Aurum"	"271243015"	"7937000"	"Implantation of cardiac pacemaker system NEC"	""
"707"	"Heart block"	"Aurum"	"271244014"	"7937100"	"Resiting of lead of cardiac pacemaker system NEC"	""
"708"	"Heart block"	"Aurum"	"271245010"	"7937200"	"Maintenance of battery of cardiac pacemaker system NEC"	""
"709"	"Heart block"	"Aurum"	"271246011"	"7937300"	"Maintenance of cardiac pacemaker system NEC"	""
"710"	"Heart block"	"Aurum"	"271248012"	"7937y00"	"Other specified other cardiac pacemaker system"	""
"711"	"Heart block"	"Aurum"	"271249016"	"7937z00"	"Other cardiac pacemaker system NOS"	""
"712"	"Heart block"	"Aurum"	"2947481000006112"	""	"Third degree heart block"	""
"713"	"Heart block"	"Aurum"	"2947491000006110"	""	"Complete heart block"	""
"714"	"Heart block"	"Aurum"	"2947501000006119"	""	"CHB - Complete heart block"	""
"715"	"Heart block"	"Aurum"	"2947511000006116"	""	"High grade atrioventricular block"	""
"716"	"Heart block"	"Aurum"	"2952411000006117"	""	"Mobitz type II incomplete atrioventricular block"	""
"717"	"Heart block"	"Aurum"	"2952421000006113"	""	"Second degree Mobitz type II incomplete atrioventricular block"	""
"718"	"Heart block"	"Aurum"	"2952431000006111"	""	"Mobitz type 2 second degree atrioventricular block"	""
"719"	"Heart block"	"Aurum"	"300067019"	"G561.00"	"Partial atrioventricular block"	""
"720"	"Heart block"	"Aurum"	"300068012"	"G561000"	"Atrioventricular block unspecified"	""
"721"	"Heart block"	"Aurum"	"300073018"	"G561400"	"Second degree atrioventricular block"	""
"722"	"Heart block"	"Aurum"	"300074012"	"G561z00"	"Atrioventricular block NOS"	""
"723"	"Heart block"	"Aurum"	"300917011"	"Gyu5U00"	"[X]Other and unspecified atrioventricular block"	""
"724"	"Heart block"	"Aurum"	"324806014"	"SP00100"	"Mechanical complication of cardiac pacemaker"	""
"725"	"Heart block"	"Aurum"	"3376151000006110"	""	"Mobitz type I incomplete atrioventricular block"	""
"726"	"Heart block"	"Aurum"	"3376171000006117"	""	"Wenckebach's incomplete AV block"	""
"727"	"Heart block"	"Aurum"	"350471015"	"G56..12"	"Heart block"	""
"728"	"Heart block"	"Aurum"	"3569601000006118"	""	"Sinoatrial exit block"	""
"729"	"Heart block"	"Aurum"	"369901000000112"	"7P19.00"	"Pacemaker testing"	""
"730"	"Heart block"	"Aurum"	"375431000000115"	"7937700"	"Implantation of single chamber cardiac pacemaker system"	""
"731"	"Heart block"	"Aurum"	"375451000000110"	"7937800"	"Implantation of dual chamber cardiac pacemaker system"	""
"732"	"Heart block"	"Aurum"	"381061000000111"	"7P19y00"	"Other specified pacemaker testing"	""
"733"	"Heart block"	"Aurum"	"381161000000112"	"7P19z00"	"Pacemaker testing NOS"	""
"734"	"Heart block"	"Aurum"	"394287018"	"7936500"	"Implantation of emergency intravenous cardiac pacemaker"	""
"735"	"Heart block"	"Aurum"	"4427901000006119"	""	"Pacemaker twiddler syndrome"	""
"736"	"Heart block"	"Aurum"	"452909018"	"7936511"	"Implantation of temporary intravenous cardiac pacemaker"	""
"737"	"Heart block"	"Aurum"	"454179019"	"7.94E+03"	"Implantation of intravenous dual chamber permanent pacemaker"	""
"738"	"Heart block"	"Aurum"	"4586811000006113"	""	"EKG: heart block"	""
"739"	"Heart block"	"Aurum"	"4586841000006112"	""	"ECG: partial sinoatrial block"	""
"740"	"Heart block"	"Aurum"	"4586851000006114"	""	"Electrocardiogram: partial sinoatrial block"	""
"741"	"Heart block"	"Aurum"	"4586861000006111"	""	"ECG: complete sinoatrial block"	""
"742"	"Heart block"	"Aurum"	"4586871000006116"	""	"Electrocardiographic complete sinoatrial block"	""
"743"	"Heart block"	"Aurum"	"4586881000006118"	""	"EKG: complete sinoatrial block"	""
"744"	"Heart block"	"Aurum"	"4586901000006116"	""	"Electrocardiogram: partial atrioventricular block - long PR"	""
"745"	"Heart block"	"Aurum"	"4586921000006114"	""	"Electrocardiogram: partial atrioventricular block - 2:1"	""
"746"	"Heart block"	"Aurum"	"4586931000006112"	""	"ECG: partial atrioventricular block - 3:1"	""
"747"	"Heart block"	"Aurum"	"4586941000006119"	""	"Electrocardiogram: partial atrioventricular block - 3:1"	""
"748"	"Heart block"	"Aurum"	"4586951000006117"	""	"Mobitz type I second degree atrioventricular block on electrocardiogram"	""
"749"	"Heart block"	"Aurum"	"4586981000006113"	""	"Mobitz type I incomplete atrioventricular block on electrocardiogram"	""
"750"	"Heart block"	"Aurum"	"4587011000006117"	""	"Electrocardiographic complete atrioventricular block"	""
"751"	"Heart block"	"Aurum"	"4587021000006113"	""	"EKG: complete atrioventricular block"	""
"752"	"Heart block"	"Aurum"	"46670010"	"G560.00"	"Complete atrioventricular block"	""
"753"	"Heart block"	"Aurum"	"46671014"	"G560.11"	"Third degree atrioventricular block"	""
"754"	"Heart block"	"Aurum"	"47191011"	"G561200"	"Mobitz type II atrioventricular block"	""
"755"	"Heart block"	"Aurum"	"4777271000006113"	""	"Incomplete atrioventricular block"	""
"756"	"Heart block"	"Aurum"	"4777281000006111"	""	"Incomplete heart block"	""
"757"	"Heart block"	"Aurum"	"4777311000006113"	""	"Incomplete atrioventricular block, second degree"	""
"758"	"Heart block"	"Aurum"	"4777321000006117"	""	"Second degree heart block"	""
"759"	"Heart block"	"Aurum"	"5046941000006117"	""	"Pacemaker care"	""
"760"	"Heart block"	"Aurum"	"5057361000006117"	""	"HB - Heart block"	""
"761"	"Heart block"	"Aurum"	"5057381000006110"	""	"AVB - Atrioventricular block"	""
"762"	"Heart block"	"Aurum"	"5057391000006113"	""	"AV block"	""
"763"	"Heart block"	"Aurum"	"5517151000006114"	""	"Incomplete atrioventricular block, first degree"	""
"764"	"Heart block"	"Aurum"	"5583401000006110"	""	"General maintenance of cardiac pacemaker"	""
"765"	"Heart block"	"Aurum"	"5966441000006112"	""	"Implantation of heart pacemaker"	""
"766"	"Heart block"	"Aurum"	"634591000006119"	"3298.00"	"ECG: complete A-V block"	""
"767"	"Heart block"	"Aurum"	"634991000006112"	"3295.00"	"ECG: partial A-V block - 2:1"	""
"768"	"Heart block"	"Aurum"	"635001000006117"	"3296.00"	"ECG: partial A-V block - 3:1"	""
"769"	"Heart block"	"Aurum"	"635011000006119"	"3292.00"	"ECG: partial sinu-atrial block"	""
"770"	"Heart block"	"Aurum"	"635591000006118"	"3293.00"	"ECG:complete sinu-atrial block"	""
"771"	"Heart block"	"Aurum"	"635611000006112"	"3294.00"	"ECG:partial A-V block-long P-R"	""
"772"	"Heart block"	"Aurum"	"699951000006113"	"G561300"	"Mobitz type I (Wenckebach) atrioventricular block"	""
"773"	"Heart block"	"Aurum"	"7055191000006115"	""	"ECG: Mobitz type II atrioventricular block"	""
"774"	"Heart block"	"Aurum"	"7055201000006117"	""	"Electrocardiographic Mobitz type II atrioventricular block"	""
"775"	"Heart block"	"Aurum"	"7055211000006119"	""	"EKG: Mobitz type II atrioventricular block"	""
"776"	"Heart block"	"Aurum"	"719101000006119"	"7936200"	"Maintenance of battery of intravenous cardiac pacemaker syst"	""
"777"	"Heart block"	"Aurum"	"7306091000006118"	""	"Trifascicular block on ECG (electrocardiogram)"	""
"778"	"Heart block"	"Aurum"	"744671000000115"	"7936K00"	"Implantation of intravenous cardiac pacemaker system NEC"	""
"779"	"Heart block"	"Aurum"	"783321000006113"	"7936B00"	"Implantation simple one wire intravenous cardiac pacemaker"	""
"780"	"Heart block"	"Aurum"	"783771000006113"	"TB01000"	"Implant of cardiac pacemaker with complication, no blame"	""
"781"	"Heart block"	"Aurum"	"783791000006114"	"7936D00"	"Implantation complex two wire intravenous cardiac pacemaker"	""
"782"	"Heart block"	"Aurum"	"783861000006111"	"7936C00"	"Implantation of complex 1 wire intravenous cardiac pacemaker"	""
"783"	"Heart block"	"Aurum"	"865371000006110"	"7936.96"	"Cardiac pacemaker NOS"	""
"784"	"Heart block"	"Aurum"	"865381000006113"	"7936.97"	"Cardiac pacemaker replaced"	""
"785"	"Heart block"	"Aurum"	"865391000006111"	"7936.98"	"Cardiac pacemaker"	""
"786"	"Heart block"	"Aurum"	"865421000006115"	"7936098"	"Cardiac pacemaker implanted"	""
"787"	"Heart block"	"Aurum"	"865431000006117"	"7936099"	"Permanent cardiac pacemaker"	""
"788"	"Heart block"	"Aurum"	"865471000006119"	"7936499"	"Cardiac pacemaker removed"	""
"789"	"Heart block"	"Aurum"	"865481000006116"	"7936599"	"Emergency cardiac pacemaker"	""
"790"	"Heart block"	"Aurum"	"865491000006118"	"7936799"	"Fixed-rate cardiac pacemaker"	""
"791"	"Heart block"	"Aurum"	"865501000006114"	"7936899"	"Triggered cardiac pacemaker"	""
"792"	"Heart block"	"Aurum"	"884341000006118"	"G560.99"	"Complete atrioventric. block"	""
"793"	"Heart block"	"Aurum"	"884351000006116"	"G566.99"	"Heart block NOS"	""
"794"	"Heart block"	"Aurum"	"899981000006113"	"SP00199"	"Pacemaker mech. complic."	""
"795"	"Heart block"	"Aurum"	"932971000006117"	"7937z99"	"Cardiac pacemaker"	""
"796"	"Heart block"	"Aurum"	"932981000006119"	"7937099"	"Cardiac pacemaker implanted"	""
"797"	"Heart block"	"Aurum"	"932991000006116"	"7937499"	"Cardiac pacemaker removed"	""
"798"	"Heart block"	"Aurum"	"933001000006115"	"7937098"	"Cardiac pacemaker replaced"	""
